0,1,2,split
28674CFA,author_in_affiliation,075CFC38,train
062B7298,author_in_affiliation,00D4F325,train
8032D24C,author_write_paper,7E3C8A87,train
7B1FB61F,author_write_paper,770D962D,train
7F720D06,paper_cite_paper,6B51598C,train
77625499,paper_in_domain,01DE6519,train
7F89FD5A,paper_in_domain,00D48189,train
795661AB,author_write_paper,7CCF980A,train
7D95F3C4,author_write_paper,7F5A9FB1,train
800C4E02,paper_in_domain,071DF995,train
7B8F162B,author_in_affiliation,4CE6FC2D,train
77D29F4E,author_write_paper,80CF99AB,train
802C1129,author_write_paper,80E1B380,train
7F4089B0,paper_in_domain,093C4716,train
76A69BB9,paper_in_domain,01A2ACFC,train
7F038D6A,author_in_affiliation,04CE0776,train
1293833B,author_write_paper,7F5FBF24,train
5C57817A,paper_in_domain,03726BFA,train
033BCC9C,paper_cite_paper,7F1689C3,train
80D09177,paper_in_domain,02BAEDB1,train
802409C9,paper_in_domain,03A63778,train
7D458B4A,paper_in_domain,04F6433F,train
75362029,paper_in_venue,4558D729,train
7A774D1E,paper_cite_paper,812313D9,train
7D6BB293,paper_in_domain,082EEFC0,train
7D6FB4F7,paper_in_domain,00517AB5,train
83E5CC71,author_in_affiliation,0810AAFA,train
7F9FA3A5,author_in_affiliation,070DD5D4,train
7F6E2842,author_write_paper,76802781,train
7EAA8442,author_write_paper,7F1803D9,train
76D1474F,author_write_paper,7DDBC4B7,train
7F916FBD,paper_cite_paper,78010776,train
75E94043,paper_in_domain,04984686,train
7C5F002E,paper_in_domain,064FF158,train
295C8CBD,author_write_paper,7E1BFC9D,train
758EC809,author_write_paper,7F89635B,train
7DC58A65,author_in_affiliation,05C86094,train
7E3171F4,paper_in_domain,0AAB07DF,train
7E22E9D2,paper_in_domain,07BA2A2B,train
7FF9698E,paper_in_domain,05755366,train
7794F56A,author_write_paper,7FD6C05D,train
7FB399F0,author_in_affiliation,09E3EE34,train
7E7BB75D,paper_in_domain,007AAA53,train
7B9C1517,paper_in_domain,0A8BF56E,train
7ED9A48D,paper_in_domain,0149209A,train
7E1F9EC9,paper_cite_paper,6226C462,train
7C03E1B8,author_in_affiliation,0127901A,train
805CD994,paper_cite_paper,80514822,train
86399019,author_write_paper,7E301C3B,train
5C6A4B55,paper_cite_paper,7DE3BCB2,train
78160E2D,paper_cite_paper,6F230525,train
0B5C76B5,author_write_paper,7E9AF1D4,train
84F6DCAB,author_in_affiliation,07698D3B,train
80CB2EEB,paper_in_domain,04625E4E,train
7E923BF8,paper_in_venue,46DAB993,train
7DF0480E,paper_cite_paper,7EF03283,train
7DBE4309,author_write_paper,811B89EC,train
7FD9C2D3,paper_in_venue,43319DD4,train
8136B878,paper_in_domain,068FBD53,train
7EE85AF4,paper_cite_paper,7E313885,train
5C851D2B,paper_cite_paper,63C65319,train
7F00EFA0,author_write_paper,7D7E679D,train
814FE9F0,paper_in_domain,0979AA7D,train
74520F19,paper_in_domain,06F54AFB,train
5CAA6A66,paper_in_domain,09C35A89,train
760A7C17,paper_in_domain,07868074,train
7646C4F7,paper_in_domain,07B5E46C,train
84BA2870,author_write_paper,810E2DA8,train
7F3B9B7D,paper_in_domain,06FF1266,train
761E3E29,paper_cite_paper,784E00BD,train
8059468B,author_write_paper,7D32D831,train
7F742317,author_write_paper,5E2A05A0,train
7DD06051,author_in_affiliation,044C0559,train
782187F3,paper_in_venue,460A7036,train
8004DBFC,paper_in_venue,46A05BB0,train
7FECFB1D,author_write_paper,8076F740,train
8475FD57,author_write_paper,7F731300,train
0A716934,author_write_paper,800FD8B4,train
7DB4252D,paper_cite_paper,588A95F3,train
7B117957,paper_cite_paper,7B0F0125,train
79732774,paper_in_venue,45FFFB88,train
7E0C7804,paper_in_domain,098CFB0F,train
7F92E05F,paper_cite_paper,755905FC,train
6E842B48,paper_in_domain,0650B2E2,train
804203F9,paper_cite_paper,7FA91694,train
7FA5B81C,author_write_paper,812330E1,train
7F437FBE,author_in_affiliation,4FF45383,train
7CF3FA6E,paper_in_venue,465F7C62,train
7F3E9408,paper_cite_paper,770214B3,train
79CB49C1,author_write_paper,08B0D1F3,train
80FE91E2,author_write_paper,78D3F180,train
80A29A11,paper_cite_paper,7FC0A39E,train
78CEBF01,paper_in_domain,0322F49A,train
80E1B380,paper_in_domain,044294F0,train
70BFAB4C,paper_in_domain,01900D77,train
82817E59,author_in_affiliation,4F05DC4B,train
0B516FBC,paper_in_domain,0BDF6970,train
79FDD835,paper_in_domain,05FB0DEA,train
7E1D9074,paper_cite_paper,7EA433B8,train
75E23461,paper_in_domain,09FC4772,train
78517A5C,paper_cite_paper,666E6A90,train
10905C73,author_write_paper,80FD7E3B,train
7B6D7831,paper_cite_paper,59601090,train
7581421E,paper_in_domain,09ACCB7D,train
814614BC,paper_in_venue,43319DD4,train
74455F68,paper_in_domain,1E0B08E9,train
5BCCE789,paper_in_domain,04FCA2EE,train
81745AE5,paper_in_domain,04FCA2EE,train
5D1D3FC7,paper_in_venue,465F7C62,train
7D3C0C9B,paper_cite_paper,7D776D32,train
7923B504,author_write_paper,81208DC2,train
7F368BDB,paper_in_domain,00D0DC92,train
7F7BEB13,paper_in_venue,4558D729,train
5B950CE5,paper_in_domain,098CFB0F,train
78F79C49,author_write_paper,80045732,train
80EA820B,paper_in_domain,01AB58F8,train
75520842,paper_in_domain,01E7DD16,train
81643356,author_write_paper,7B30D27C,train
7132E868,paper_in_domain,093C4716,train
7E6BDFCC,author_write_paper,7710FB86,train
00595494,author_in_affiliation,0C01DCFD,train
7D4F4289,paper_in_domain,09064767,train
8111B3F8,paper_cite_paper,5DE9A1A4,train
8540C48E,author_write_paper,7E4BA692,train
7FCDA0AF,paper_cite_paper,7EEA4197,train
5C10297F,author_write_paper,7EA8DB76,train
7F2FCE82,paper_cite_paper,7BC1A0BE,train
801277CB,paper_in_domain,04984686,train
78455E9F,author_in_affiliation,01124466,train
5A2E373A,paper_in_domain,0509C2A8,train
80822E44,paper_in_domain,0C22A061,train
7B84E1BA,author_write_paper,5B876262,train
7732DE1B,paper_in_venue,43FD776C,train
7AB49F09,paper_in_domain,032845DD,train
6096BEC3,paper_in_domain,0C5A3D81,train
7D5FDCBF,paper_in_domain,06E52535,train
8125503C,paper_cite_paper,7DBFCF6D,train
84BB808E,author_write_paper,072290FB,train
85941E4A,author_write_paper,7FB5D5E6,train
7E15640A,author_write_paper,7F6F87F5,train
7F96093B,paper_in_domain,0313D7E3,train
299D6E11,author_in_affiliation,09E0E324,train
0115452E,author_in_affiliation,07CA5884,train
81647693,paper_in_domain,094A0611,train
5F32D195,paper_in_domain,0509C2A8,train
7A3464F9,author_write_paper,795AC0B1,train
7D6DDA34,paper_in_domain,01BC623A,train
58F60580,paper_in_domain,05D05EDF,train
7A9FE5B5,author_write_paper,82E6FE46,train
803C01A9,paper_cite_paper,5C36F4D8,train
6F29391A,paper_in_domain,049B2912,train
7FA4B495,author_write_paper,80FB1800,train
801D237F,paper_in_domain,0BBEAF3D,train
80D8B543,paper_in_domain,1E0B08E9,train
64DC879E,paper_in_domain,0724DFBA,train
7B15399A,paper_in_domain,06182F52,train
8110F6E7,paper_in_domain,07919041,train
7FA46BC1,paper_in_venue,465F7C62,train
7E70979E,paper_in_venue,43319DD4,train
778C3100,paper_in_domain,007AAA53,train
7C7AACE4,author_write_paper,7D83C37F,train
14CCBD42,author_write_paper,5EBFFB9D,train
5E30CEBA,paper_in_venue,465F7C62,train
7DA9C5BE,paper_in_domain,065950AA,train
80A8A45C,paper_in_domain,047CE770,train
7F4B2617,paper_cite_paper,7F92F2E4,train
7DC03A9C,paper_cite_paper,8070C063,train
6E18C149,paper_in_venue,45701BF3,train
80A48EA3,paper_in_domain,0A815585,train
7A718F73,author_write_paper,7EB8B347,train
79E8F68A,paper_in_venue,43FD776C,train
7E1A7F1E,paper_in_domain,0C655874,train
7DD6B5EF,paper_in_domain,020F5884,train
7ADA3BFF,paper_in_domain,0AFF636D,train
7FA5F67F,paper_in_domain,00517AB5,train
7E2B176C,paper_in_domain,0765A2E4,train
80511DBD,paper_in_domain,08D9ADFD,train
0BEC6921,paper_in_domain,014F152B,train
7E2665B2,paper_in_domain,0BB95F31,train
787A39C9,author_write_paper,7A4134BA,train
850B7FDE,author_write_paper,809FCF63,train
802FB8CB,paper_in_domain,065950AA,train
7E7F7AE0,paper_cite_paper,7FA1B1E4,train
7DEF5E39,paper_in_domain,00564A32,train
7F57A8B3,paper_in_domain,04BB9B33,train
8283EAEF,author_write_paper,7DC62D2B,train
85F131EB,author_write_paper,7E265451,train
7F69B2F4,paper_cite_paper,5972D6B9,train
7E853638,paper_cite_paper,7868D0F0,train
7D5C1552,author_write_paper,7EBD17A2,train
8026E445,paper_in_domain,0A619F52,train
7F418AAE,paper_in_domain,084854C1,train
8113D9F8,paper_in_domain,022C6839,train
7905947C,author_in_affiliation,4FF45383,train
7E841DB2,author_write_paper,7C336E8D,train
5975C39A,paper_in_domain,01DCF91B,train
7EE08539,paper_cite_paper,5A4EB7F7,train
7DA53038,paper_in_domain,0579E1BD,train
7A941248,paper_in_domain,040130E0,train
0399BF0B,author_write_paper,7EF15972,train
06655F6C,paper_cite_paper,7C55ADC9,train
807EEB22,paper_in_venue,45610CDA,train
75F0CADA,paper_in_domain,0BFB67B9,train
802D3584,paper_in_domain,093C4716,train
7B7EE40B,paper_in_domain,03C2D397,train
7EE42D0C,paper_in_venue,43319DD4,train
7C39354F,author_write_paper,7D58F835,train
74520F19,paper_in_domain,01BC623A,train
7C40DCA6,author_write_paper,62A3D932,train
785AC0D4,paper_in_domain,064FF158,train
7EACC039,author_in_affiliation,022F9467,train
7E25A6C5,paper_in_venue,460A7036,train
80238C16,author_in_affiliation,043A55FE,train
671DB02A,paper_in_domain,03365AB6,train
6810CF73,author_in_affiliation,03376F29,train
7D818646,paper_cite_paper,7D2702F8,train
76CCC464,paper_in_domain,03730539,train
5DCB3576,paper_cite_paper,7E75CE02,train
78807E42,author_write_paper,7C75E6BA,train
7E716468,paper_in_venue,465F7C62,train
7E1FB8A3,paper_in_domain,0596CC64,train
832B506D,author_write_paper,7D9AB089,train
7EFE7A73,paper_cite_paper,795AC0B1,train
505651F0,author_in_affiliation,07D2B6B9,train
7FCC49D3,author_write_paper,7CF204A1,train
75CC40F2,paper_in_domain,04B56F66,train
81DB2004,author_write_paper,5CB216D4,train
802CB1B5,paper_cite_paper,812F7B09,train
7FE3BA14,paper_in_domain,092289D0,train
7F70473C,paper_cite_paper,8048D17E,train
856E615A,author_write_paper,815FA67B,train
01C06AE0,author_write_paper,59F8368D,train
7E2C016F,paper_in_domain,20F5F5CD,train
7EDC3DBE,author_write_paper,7DADFBED,train
7C146533,paper_in_domain,07868074,train
0B11DAAE,paper_in_venue,46A05BB0,train
7FF8EA9C,paper_in_venue,43319DD4,train
7B4FB10A,paper_in_domain,07868074,train
7780965F,paper_in_domain,040DF020,train
7F26768D,paper_in_domain,0650B2E2,train
79832761,author_write_paper,7E793037,train
764C8B24,author_write_paper,7FDC5A20,train
7F31072D,paper_in_venue,45610CDA,train
7E03F00F,paper_in_domain,01B1E4E6,train
7E524971,paper_in_domain,00BB2E8D,train
80DDC0B6,paper_cite_paper,7ECC3EF1,train
7E74E438,paper_cite_paper,7EADB713,train
7EA21167,author_write_paper,80E51092,train
7CC3FECE,paper_cite_paper,7F3D3128,train
75E08B05,author_write_paper,8099A46C,train
7EEDADD9,paper_in_domain,023AC02B,train
7F06BE92,paper_cite_paper,763B5383,train
75880CA9,paper_in_venue,46AD78C1,train
7A563E91,author_write_paper,76C2A4DC,train
7EE9B453,paper_cite_paper,7D43B6D6,train
671DB02A,paper_in_domain,0160D514,train
7D1FE6B8,paper_cite_paper,8118A037,train
7E5F2067,paper_cite_paper,7D9F946A,train
7E34A74C,paper_in_domain,0271BC14,train
7F91D994,paper_in_domain,0ABCEA76,train
7F70479E,paper_in_domain,02BAEDB1,train
7E8A6F2B,paper_in_domain,0A16E604,train
80948D77,paper_in_domain,04984686,train
753B8644,paper_in_domain,060E4F3E,train
80686AB9,paper_in_venue,46DAB993,train
7E09F24A,paper_cite_paper,80EB6FE1,train
7EA51AF4,author_write_paper,80CF99AB,train
5A369914,paper_in_venue,465F7C62,train
01A98330,author_write_paper,7EB4A171,train
087DCED6,paper_in_venue,465F7C62,train
7FAC3401,author_write_paper,7F57A8B3,train
7ABD252C,paper_in_domain,0555BE69,train
7919B344,paper_cite_paper,7C95773B,train
80E9D43D,author_write_paper,63D69DC4,train
77890DDB,paper_in_domain,097C6C78,train
77F97538,paper_in_domain,04093723,train
7D0A4A81,paper_cite_paper,7D544774,train
770882E3,author_in_affiliation,0A0D2BAD,train
7E8C6A66,author_write_paper,7F142127,train
814CA068,paper_in_domain,00517AB5,train
7E63B97C,author_write_paper,80A4C715,train
139942F7,author_in_affiliation,08E89AA2,train
7A774D1E,paper_in_domain,0C655874,train
7F5442D1,paper_cite_paper,809E4294,train
80F636E3,author_in_affiliation,03FD8454,train
8067560B,paper_in_domain,04E83938,train
78F8FBDB,author_write_paper,7F324CBD,train
7F2C7C35,paper_cite_paper,7DFADDF7,train
80EFBE58,paper_in_domain,032845DD,train
7F2EDF3D,author_write_paper,5EACE1F3,train
7CF7EA20,paper_in_domain,00DF7C87,train
0EAA4FBF,author_in_affiliation,0C31D7EB,train
096C9A27,author_write_paper,7F66E808,train
7CFDC397,paper_in_domain,076BC823,train
7DC830C8,author_write_paper,7993E3BE,train
0AAFA3E3,paper_in_domain,0927D268,train
816F627B,paper_in_domain,0271BC14,train
782AD612,author_in_affiliation,4FF45383,train
023FC403,paper_in_venue,45701BF3,train
8005F626,author_in_affiliation,0A5DAC76,train
766665B3,author_write_paper,79BABCCB,train
8125D902,paper_in_venue,46A05BB0,train
6F073449,author_in_affiliation,0D109F83,train
80EA820B,paper_cite_paper,7F339EC6,train
80CD43E1,author_write_paper,7EB502E3,train
7AD55B4F,author_write_paper,7E76ED60,train
8215518E,author_in_affiliation,0B0ADEB6,train
58AC5F37,paper_in_venue,46A05BB0,train
7D6D485B,paper_in_domain,0BB2057D,train
80719D2B,paper_cite_paper,77D443BC,train
7D9BD10C,paper_in_domain,04984686,train
7684686C,author_write_paper,7D818646,train
812FF69E,author_write_paper,7EC41183,train
78E2E865,paper_in_domain,047F532B,train
7830230F,paper_in_domain,0C42E7BE,train
7FF9698E,paper_in_venue,43319DD4,train
808B98BF,paper_in_domain,072BDC64,train
79F3AD14,author_in_affiliation,4CE6FC2D,train
80AB9104,author_write_paper,7F0D50FE,train
6C5B8284,author_in_affiliation,090B77B3,train
7F278F90,paper_in_domain,05605559,train
6257779D,paper_in_domain,07CF2CAD,train
800F656B,paper_in_venue,43319DD4,train
7E4D101F,paper_cite_paper,776DB07B,train
5C955399,paper_in_domain,0757D77D,train
8066A4D4,author_in_affiliation,03FD8454,train
80C8D1B0,paper_cite_paper,7D93C83B,train
7DCA5A89,paper_cite_paper,7D7F8A42,train
7EADEC8F,paper_cite_paper,7E39FDB9,train
7D210B6A,paper_cite_paper,7F50E13C,train
76E07507,author_write_paper,80CF6047,train
7EF01D7E,paper_cite_paper,7D0A7E94,train
810D5906,author_write_paper,7DE742D6,train
7041B311,paper_in_domain,0BB2057D,train
80F77A3D,paper_in_domain,0A058F87,train
75EE3806,author_write_paper,7B0B2DD9,train
5B683B1C,paper_in_domain,06545253,train
7E42F9C8,paper_in_domain,09E6A1FA,train
5F7F616C,paper_in_domain,08595992,train
7EB52A3A,paper_in_domain,0322F49A,train
7E7C89A0,paper_in_domain,028649F0,train
812030A8,paper_in_domain,02810BE9,train
8111B3F8,paper_in_domain,05D05EDF,train
7E0468C3,paper_in_venue,448ECA1D,train
812815EB,author_in_affiliation,099D876D,train
81627586,paper_in_domain,08D56A9B,train
7F08C957,author_in_affiliation,0A546C41,train
6E3F11B9,author_write_paper,7DA98B92,train
7E877DF3,author_in_affiliation,01776B6C,train
76DD91B7,paper_in_domain,0944F57B,train
6522E874,paper_in_domain,03DDEE22,train
7E983774,paper_cite_paper,7B21C72A,train
804B5947,paper_in_domain,0A3E03D5,train
80544153,author_write_paper,7EB2D8D5,train
69B1FF3B,paper_in_domain,1E0B08E9,train
7D776D32,paper_in_venue,45701BF3,train
7EF44B58,paper_in_domain,0271BC14,train
46510B72,author_write_paper,83479B55,train
7E6B4AA9,paper_in_domain,03E5F134,train
7D683607,paper_in_domain,0A240858,train
7C02E127,paper_in_venue,4566232D,train
80DE688A,paper_cite_paper,80B1E615,train
6250D408,paper_in_domain,002DD761,train
7DE51BB2,paper_in_domain,0555BE69,train
6541B6F4,author_write_paper,5BBCC2A5,train
075A02B4,paper_in_domain,019EC1A3,train
7A9AF140,paper_cite_paper,7E6AD1CE,train
81114F6C,paper_in_domain,0040157D,train
7FA40D63,paper_cite_paper,7D1A4F7E,train
7800F273,paper_in_venue,46A05BB0,train
82E56D13,author_write_paper,7E5F8479,train
24D0E6BA,author_write_paper,7E49B833,train
7FA1E57A,author_write_paper,6522E874,train
7E595396,paper_in_domain,0160D514,train
7F590CD7,paper_cite_paper,7CE4C917,train
11EAB9C2,author_write_paper,7F2057F4,train
7A9BE4C9,author_write_paper,7E9279E6,train
80CFDD89,author_write_paper,781F68F1,train
80FA3B78,paper_cite_paper,7B7CCE9B,train
59158441,paper_in_domain,0174618C,train
7B1A2766,author_in_affiliation,4CE6FC2D,train
771E4F52,paper_in_venue,460A7036,train
7E199850,author_write_paper,7F09576C,train
7F2147FD,paper_cite_paper,7D39E208,train
77D4A6C4,paper_in_domain,0393A9B8,train
7D88E110,paper_cite_paper,7D174948,train
76E6DD68,paper_in_domain,074B6D75,train
806266CD,paper_in_venue,468A7487,train
7C1EE209,paper_in_domain,0179C2BA,train
7E402C4E,author_in_affiliation,0011EAC4,train
782DD3BC,author_write_paper,7D8F8834,train
813FB56B,author_in_affiliation,05C86094,train
801FEB0A,author_write_paper,81519123,train
80B570EC,author_in_affiliation,05C86094,train
8027D2E1,author_write_paper,7E4F1B2C,train
77A143AB,author_write_paper,5E52110D,train
218FC062,author_write_paper,7E11CFAF,train
7A146798,author_write_paper,8091D774,train
80F2FF3A,paper_in_venue,4566232D,train
8487EC47,author_in_affiliation,069F11AE,train
8522B3C5,author_write_paper,7ABF9E83,train
5DCB3576,paper_in_domain,00457FEE,train
7E68CBC4,paper_in_venue,468A7487,train
7F2563EC,paper_in_venue,43ABF249,train
80AF0EB3,author_in_affiliation,07D2B6B9,train
7EE85AF4,paper_cite_paper,7E441FB7,train
8133FD9E,author_write_paper,5A253324,train
80B39721,author_write_paper,77EE3DFB,train
80E35040,author_in_affiliation,0477FFD3,train
8084087B,paper_in_domain,07F47865,train
7F590CD7,paper_in_venue,43FD776C,train
808418E8,paper_in_domain,05B7AEC0,train
80CFDD89,author_in_affiliation,4F05DC4B,train
7EA3E122,author_in_affiliation,04BE3F72,train
79C1B1F3,paper_cite_paper,7B8A0A7B,train
7DD1ABE3,author_write_paper,8116970D,train
7CF2EF3A,paper_in_domain,215A1CAF,train
7D52AFAF,author_write_paper,7D3E689A,train
85E80BBF,author_write_paper,806D23D5,train
0B8EC736,author_in_affiliation,05B3DFF1,train
6ECD6A36,author_write_paper,6D67A767,train
7B83CAC5,author_in_affiliation,04F2C66A,train
7A2B7F0D,paper_in_venue,4558D729,train
7E9F0B81,paper_in_domain,0316C4AE,train
7F20AA13,paper_in_domain,0271BC14,train
8098D0D1,paper_in_domain,0403E479,train
05E670F5,author_write_paper,7DB65A75,train
60EF4B13,paper_cite_paper,5ECB8CD1,train
7DDDFE30,paper_cite_paper,76397661,train
76084058,paper_in_domain,0BE6B3D5,train
7D972331,paper_in_domain,040130E0,train
7E1C5A81,paper_in_domain,04655FD1,train
7B498384,paper_in_domain,05A9E447,train
7F4267E5,author_write_paper,8125B610,train
7F247CAA,author_in_affiliation,0653F611,train
791DFD7C,author_write_paper,7E416A5F,train
79C73A92,paper_in_domain,039AD27C,train
802D3584,paper_cite_paper,5E7951B0,train
7FBD5D3A,paper_in_venue,45701BF3,train
5E058045,paper_in_domain,04093723,train
7DD20B21,paper_in_domain,096A7997,train
24FFA165,author_in_affiliation,07CA5884,train
804C5843,author_write_paper,7EC77EB3,train
8002801D,paper_in_domain,0801842D,train
4AC8EF39,author_in_affiliation,004E3300,train
13A30FFA,author_write_paper,7DE9F072,train
81525928,author_in_affiliation,090B77B3,train
5AACD746,paper_in_domain,06FCACE0,train
7D331FDE,paper_in_venue,45FFFB88,train
4B587E1B,author_write_paper,7CA3C3E5,train
7F709D45,paper_cite_paper,7CB7DAFA,train
7D16FC88,author_write_paper,810FE1F7,train
09530FEB,author_in_affiliation,003E7116,train
7E547487,paper_in_domain,0AAB07DF,train
7D1F7697,paper_in_domain,06DD6CCF,train
76CC8B07,paper_in_domain,0757E79B,train
80BE101F,paper_cite_paper,7E3C2CE9,train
7EE486ED,paper_cite_paper,7EC0CEE8,train
7F5E2B65,paper_in_domain,009B0ED0,train
76FEA7A9,author_write_paper,7FBE07E1,train
816F9917,paper_in_venue,448ECA1D,train
7F064339,author_write_paper,7ECD04E4,train
7F7ACEF5,paper_cite_paper,7EC15305,train
5929B786,paper_in_venue,47CCD465,train
7D19259C,paper_in_domain,03C2D397,train
7FCBD121,author_in_affiliation,03D00B37,train
7D100A68,paper_cite_paper,7BFA9CE4,train
7CCB96AD,author_in_affiliation,044C0559,train
81724478,paper_cite_paper,7FB4861E,train
7CA018A2,paper_in_domain,0627DBD9,train
75CF66F5,paper_in_domain,065950AA,train
7E181C51,author_write_paper,7E3653FF,train
7E1D9074,paper_cite_paper,7E354FCC,train
7D9F4A75,paper_in_domain,0A5C018E,train
7E468F27,paper_in_venue,4558D729,train
7E64621E,paper_in_domain,0316C4AE,train
7FC64E8A,paper_in_domain,09ACCB7D,train
7D98419F,paper_in_venue,46DAB993,train
291869AA,author_write_paper,5A7BA6C1,train
8187A14F,author_write_paper,809FCF63,train
